name,chi2_reduced,chi2_reduced_default,improvement,ML_disk,ML_bulge,gas_factor,h_scale,n_points,max_radius,has_bulge
UGC11914,3.103061624538985,44.05641890550688,14.197726064190636,0.4678272434751841,0.3,1.250000285005748,452.74755269659875,65.0,9.83,True
NGC0289,,,,,,,,,,
UGC06923,,,,,,,,,,
NGC7793,,,,,,,,,,
NGC4214,,,,,,,,,,
UGC05764,,,,,,,,,,
UGC04278,,,,,,,,,,
UGC05829,,,,,,,,,,
UGC08837,,,,,,,,,,
UGC04325,,,,,,,,,,
NGC3521,,,,,,,,,,
UGC07866,,,,,,,,,,
UGC08286,,,,,,,,,,
NGC4010,,,,,,,,,,
NGC2683,,,,,,,,,,
UGC07261,,,,,,,,,,
UGC07608,,,,,,,,,,
IC2574,,,,,,,,,,
UGCA444,,,,,,,,,,
UGC00891,,,,,,,,,,
UGC06983,,,,,,,,,,
UGC05986,,,,,,,,,,
UGC06930,,,,,,,,,,
ESO116-G012,,,,,,,,,,
NGC5585,,,,,,,,,,
NGC6674,60.00655732836294,65.16812562744934,1.0860167376515486,0.5453006572794908,0.9,1.25,253.67615324358525,15.0,72.41,True
NGC3109,,,,,,,,,,
F571-8,,,,,,,,,,
DDO154,,,,,,,,,,
NGC4051,,,,,,,,,,
UGC11455,,,,,,,,,,
UGC06628,,,,,,,,,,
F579-V1,,,,,,,,,,
UGC08699,11.208761368530869,91.9840971979887,8.206446205219288,0.3,0.3,1.25,588.8832355531786,41.0,25.7,True
NGC4085,,,,,,,,,,
UGC07089,,,,,,,,,,
KK98-251,,,,,,,,,,
UGC02455,,,,,,,,,,
UGCA281,,,,,,,,,,
CamB,,,,,,,,,,
NGC3949,,,,,,,,,,
NGC7814,26.80849474139562,65.33745094101522,2.4371920755448513,0.3,0.35856911631327704,1.25,538.7317029465032,18.0,19.53,True
UGC02916,130.21014376732396,388.11366285701075,2.9806714870889137,0.3,0.3,1.25,460.18104767390855,43.0,38.0,True
UGC01281,,,,,,,,,,
NGC2903,,,,,,,,,,
NGC4088,,,,,,,,,,
UGC05414,,,,,,,,,,
UGC06787,20.831018225782266,189.82480534730894,9.112603296192471,0.3,0.3,1.25,364.83479373157024,71.0,37.19,True
UGC07690,,,,,,,,,,
NGC2366,,,,,,,,,,
