name,chi2,chi2_reduced,n_points,max_radius_kpc,max_velocity,rms_residual,success
UGC05716,1091.248928167938,90.9374106806615,12,12.37,74.7,20.513979751942337,True
UGC07151,117.8983356430533,10.718030513004846,11,5.5,76.2,6.741030827955237,True
UGC04483,24.265849691547892,3.0332312114434865,8,1.21,24.3,3.483234824954233,True
NGC1003,1037.4306152399754,28.817517089999317,36,30.24,115.0,17.348664726925627,True
UGC03546,1476.7970049032044,49.22656683010681,30,29.23,262.0,43.38281183357145,True
NGC0055,231.44636352200513,11.021255405809768,21,13.5,87.4,7.761134947547183,True
NGC1090,1865.2869593844148,77.72028997435062,24,30.09,176.0,22.05141265938887,True
UGC06973,242.92379164100367,26.991532404555965,9,7.85,180.0,26.769321308024974,True
F574-1,310.9746067992724,22.212471914233742,14,12.6,99.7,12.255247454797802,True
NGC3769,292.79062157528693,24.399218464607245,12,37.16,126.0,17.691875545610124,True
NGC2403,2753.790866129503,37.72316254971921,73,20.87,136.0,22.401559471006806,True
UGC03580,29148.179879967112,620.1740399993002,47,27.06,131.0,58.6852561434721,True
ESO444-G084,978.592467079081,139.79892386844014,7,4.44,63.1,23.647318991246355,True
UGC11557,2041.6741118997052,170.13950932497542,12,10.56,85.0,27.09288429575082,True
UGC08490,2444.816175531423,81.49387251771411,30,10.15,80.1,20.983831206254802,True
UGC01230,456.3064685794899,41.48240623449908,11,36.54,113.0,18.965002365716124,True
UGC08550,358.2209346916649,32.565539517424085,11,5.36,57.8,11.4132448527882,True
F561-1,690.535287760018,115.08921462666967,6,9.66,50.4,21.455928283499613,True
UGC07559,73.67649720368775,10.525213886241106,7,2.53,32.1,6.4885172069560255,True
NGC4389,1883.8249478375503,313.97082463959174,6,5.32,110.0,36.63074433132185,True
NGC2915,4722.24545021453,157.40818167381767,30,10.04,86.5,30.58985890829962,True
NGC5055,627.4730042008732,22.409750150031186,28,54.59,206.0,22.34336584168099,True
UGC07399,1889.6581122964271,188.96581122964272,10,6.13,106.0,38.533190249327475,True
F565-V2,705.7333329792395,100.81904756846279,7,8.8,83.1,22.793908872551256,True
NGC3992,1117.8130662249453,124.2014518027717,9,46.02,272.0,86.21230184541297,True
NGC6503,509.0960737382036,16.422453991554953,31,23.5,121.0,13.976691285756386,True
PGC51017,317.78994681028473,52.964991135047455,6,3.63,20.5,14.555410146752644,True
NGC1705,1605.1099854536096,114.65071324668641,14,6.0,73.2,22.95300674663945,True
ESO079-G014,643.1379338626073,42.87586225750715,15,16.67,178.0,25.598875645227714,True
F563-V1,760.3258838116913,126.72098063528188,6,7.87,29.5,22.514082760377505,True
NGC6195,4781.31050513733,207.88306544075348,23,36.43,258.0,103.19875978335261,True
DDO161,1060.1099532962735,34.19709526762173,31,13.37,67.5,11.71225685545113,True
UGC07577,336.6122173757261,37.40135748619179,9,1.69,17.8,12.231329851850418,True
UGC04499,180.99015657835176,20.11001739759464,9,8.18,74.3,9.492834415491505,True
NGC5005,1453.9910863891228,80.77728257717348,18,11.47,265.0,63.182271498654195,True
UGC10310,110.46239608103487,15.780342297290696,7,7.74,73.2,8.271402683089033,True
NGC0300,871.0692761179565,34.84277104471826,25,11.8,97.0,15.74042702922281,True
UGC06446,1539.471106534296,90.55712391378212,17,10.22,84.9,22.364687488122946,True
NGC5985,3103.990155677226,94.06030774779472,33,34.72,305.0,80.64299789034044,True
DDO064,192.63834553986516,13.759881824276082,14,2.98,46.9,7.418862938288072,True
DDO170,268.96540389312634,33.62067548664079,8,12.33,62.2,11.596667708724052,True
UGC09037,577.4650163651029,26.248409834777405,22,27.96,160.0,12.924497051959237,True
UGC11914,2495.736499210969,38.39594614170722,65,9.83,305.0,49.089854372389226,True
NGC0289,860.8407077419874,30.744310990785266,28,71.12,194.0,29.762310598606092,True
UGC06923,107.66744534909121,17.944574224848534,6,5.16,81.1,9.812604268150869,True
NGC7793,1548.7843699392693,33.66922543346237,46,7.87,116.0,14.89364785144595,True
NGC4214,1054.0683408707234,75.29059577648025,14,5.63,80.6,19.945165567871413,True
UGC05764,935.7397205728038,93.57397205728037,10,3.62,55.8,19.346728101390205,True
UGC04278,903.8366773313801,36.1534670932552,25,6.69,92.8,14.941299337871943,True
UGC05829,243.99678541743702,22.18152594703973,11,6.91,68.6,9.514105512667273,True
UGC08837,277.87712970630315,34.734641213287894,8,4.2,48.0,11.787220404028746,True
UGC04325,756.4960727537623,94.56200909422029,8,5.59,92.7,24.922568183460527,True
NGC3521,646.8612151124813,15.777102807621496,41,17.74,220.0,23.39487158058875,True
UGC07866,38.405742388120196,5.486534626874314,7,2.32,33.1,4.684670586871317,True
UGC08286,1158.9743460919913,68.17496153482301,17,8.04,84.3,19.42872615522641,True
NGC4010,285.0627259576697,23.755227163139143,12,10.47,129.0,14.59748152797797,True
NGC2683,974.9295966586648,88.62996333260588,11,34.62,212.0,45.82303850894881,True
UGC07261,154.6883375336007,22.098333933371528,7,6.67,76.1,10.030950917788152,True
UGC07608,690.1511331217131,86.26889164021414,8,4.78,69.3,18.77851709382052,True
IC2574,810.3675858512468,23.834340760330786,34,10.23,67.5,9.769001792724676,True
UGCA444,1072.668997174075,29.796361032613195,36,2.62,38.3,10.917208623565493,True
UGC00891,290.9752015015942,58.19504030031884,5,7.39,63.75,15.257134763817069,True
UGC06983,1387.8058651486017,81.63563912638834,17,15.68,113.0,27.996650404832337,True
UGC05986,972.5862289435507,64.83908192957004,15,9.41,116.0,26.262785781888326,True
UGC06930,241.8181342709479,24.181813427094788,10,16.61,109.0,14.66824461215729,True
ESO116-G012,666.461040367933,44.43073602452887,15,9.86,112.0,20.78053669635778,True
NGC5585,830.641612230677,34.61006717627821,24,10.96,92.3,13.126736274117423,True
NGC6674,804.003006293226,53.6002004195484,15,72.41,291.0,54.335093234768784,True
NGC3109,1805.9526308416632,72.23810523366653,25,6.45,67.3,17.016139845593386,True
F571-8,2765.6854215370518,212.74503242592706,13,15.55,144.0,35.0097791480722,True
DDO154,722.2873112322826,60.190609269356884,12,5.92,48.2,15.516521423225875,True
NGC4051,146.47817787354433,20.925453981934904,7,12.19,161.0,18.344534828117826,True
UGC11455,5627.572576675141,156.32146046319838,36,41.93,291.0,45.670647347370135,True
UGC06628,989.6931980129491,141.38474257327843,7,7.69,42.3,23.781063270869822,True
F579-V1,661.4400924527672,47.24572088948337,14,15.16,114.0,20.310231918084543,True
UGC08699,3408.0422051636515,83.1229806137476,41,25.7,202.0,48.853616810459656,True
NGC4085,911.9845211116447,130.28350301594924,7,6.2,136.0,25.815185686030233,True
UGC07089,241.40003285890612,20.116669404908844,12,9.16,79.1,9.000876376047662,True
KK98-251,99.54417659722793,6.636278439815196,15,3.13,34.6,5.152195042820175,True
UGC02455,1712.6169232101915,214.07711540127394,8,4.03,61.0,29.262748702148535,True
UGCA281,28.46942246139746,4.067060351628209,7,1.08,29.5,4.033390807560412,True
CamB,479.14838275229374,53.238709194699304,9,1.79,20.1,14.592972170836111,True
NGC3949,466.9450938916479,66.70644198452113,7,7.07,169.0,38.9313490723952,True
NGC7814,789.1975265080152,43.84430702822307,18,19.53,265.0,43.80416109967423,True
UGC02916,14110.971575449907,328.1621296616257,43,38.0,218.0,112.21394850538384,True
UGC01281,501.20894174313145,20.04835766972526,25,4.99,56.9,8.955078485356845,True
NGC2903,7915.252749734848,232.80155146278966,34,24.96,216.0,41.20678024602686,True
NGC4088,309.79236099239284,25.816030082699402,12,21.48,182.0,13.906429973903416,True
UGC05414,50.557680848219576,8.42628014136993,6,4.11,61.4,5.805611127648812,True
UGC06787,12452.42168025648,175.38622084868283,71,37.19,276.0,89.61854292925291,True
UGC07690,162.40201374146582,23.20028767735226,7,4.13,60.7,9.633335388608094,True
NGC2366,507.8110186845539,19.531193026328996,26,6.06,53.7,8.838821873152325,True
