name,chi2,chi2_reduced,n_points,max_radius_kpc,max_velocity,rms_residual,max_residual,ML_disk,ML_bulge,gas_factor,h_scale,has_bulge,v_model,v_newton,success
NGC2955,1040.571707940809,43.357154497533706,24,35.43,276.0,48.94592889604235,108.16105533120731,0.3,0.3,1.25,561.5015459060669,True,"[192.56806056358525, 209.98747360219338, 251.1029199317509, 273.141161519999, 285.45548512173553, 292.0315484820891, 296.168381375956, 299.22906430274725, 301.8866240688293, 303.9442851993536, 305.30404357438897, 305.7569273827498, 306.0235526577405, 307.10012366895154, 307.57789793370205, 308.1798600858063, 309.68046561261605, 312.132345460265, 314.71633634456214, 317.54138801933493, 320.4803295142758, 323.89697925791677, 327.44147322953285, 335.1610553312073]","[192.76297631927292, 210.54615308259466, 251.8138765967361, 274.0804191981837, 286.68886194383026, 293.5880189398507, 298.0653353609624, 301.4795875586562, 304.502113071754, 306.8999431508, 308.5985271224979, 309.243294129533, 309.65835194428524, 311.34472607106403, 312.0555764485124, 312.881229688085, 314.70288577593516, 317.2322080981765, 319.41106451841614, 321.3354213344599, 322.97503941402573, 324.6691385381427, 326.24696528549805, 329.22365396860573]",True
NGC4157,356.6634700230579,20.980204119003407,17,29.61,201.0,20.895383501188594,38.29241710555746,0.3,0.3,1.25,575.9791204172188,True,"[134.69241710555747, 138.93071540583557, 159.4868513400045, 165.73607241513042, 168.42313901436881, 169.86706641939594, 171.5690578135462, 174.34289343341723, 177.6868421194407, 181.29414501587905, 184.9780996209617, 188.6564655995255, 192.3147022090503, 195.87602841072544, 199.34896674626498, 202.7292364646749, 206.01425685760233]","[136.24884729797324, 141.15685710782245, 161.70873376031443, 166.5078132236631, 166.04627979335737, 162.51936345166973, 158.13889386373916, 154.5314995813658, 151.73408660870143, 149.54935524069407, 147.8185120879147, 146.4555033409203, 145.39858964735544, 144.58045919137487, 143.94548057279752, 143.45731158871706, 143.0839329088007]",True
NGC4183,52.764019063286696,2.2940877853602912,23,21.02,115.0,4.379108431618769,8.025588382272076,0.7554700944812798,0.7,1.2995434207209777,210.5300489147055,False,"[52.548447031574, 61.105426626982215, 73.47823966353526, 82.02267710197025, 88.57441161772792, 93.99473430752994, 98.66731880212407, 102.6261578553213, 105.86768934438575, 108.43056148679007, 110.22255318179293, 111.34760097840328, 112.11766506502693, 112.73181670743084, 113.1317612991322, 113.49841697842787, 113.78425205509016, 114.02934587503648, 114.17616605613736, 114.25967189688907, 114.29894051608939, 114.29574812701908, 114.23269158942686]","[51.6257499097795, 53.78388719297636, 63.584756144325794, 68.35768610785027, 71.00312167800868, 72.51773234985657, 73.43298311319786, 73.7224250911051, 73.33973178158931, 72.3407282106937, 70.55764426010703, 68.29232622951506, 65.91226736766002, 63.443723267165375, 61.50732747020316, 59.45405189535157, 57.562544096349235, 55.59921133160537, 53.998482352902336, 52.47109718543685, 50.85740448782237, 49.368683254817014, 47.9428059766313]",True
UGC07125,76.62911592825463,5.89454737909651,13,18.68,65.6,4.855737793207747,14.121144822304956,0.3,0.7,1.3280555555555558,328.33333333333337,False,"[40.22114482230496, 46.9135623451427, 54.00316523525572, 57.75374805230644, 60.00412166498059, 61.67147937760244, 62.90821497940405, 63.912616418107, 64.27956627281164, 64.25025435448416, 64.03662315671188, 63.83320712649999, 63.63832258281555]","[23.858303110975626, 22.106709117976198, 23.705465607325394, 23.33870709657028, 22.414237649670525, 21.537559911468115, 20.69510727011176, 19.819965801104633, 18.831530385709982, 17.8639908868526, 16.931314307270572, 16.117005357508038, 15.397862162590085]",True
UGC03205,519.1494823679193,10.815614215998318,48,40.04,237.0,20.439935167829386,58.64132638996949,0.3713836587343422,0.3,1.25,254.03387025230495,True,"[118.51515452592983, 128.24052321566595, 156.24921063100186, 179.5435061187825, 185.90094117105107, 202.91269667237992, 205.05004831887777, 207.17845646265994, 209.4408586595416, 211.74069576178474, 213.92106724825697, 215.7782267837543, 217.38636231496758, 218.87198578210769, 220.20985177197045, 221.48152575431084, 222.59889232683392, 223.54381045317731, 224.28532655174521, 224.89675590772475, 225.37288879757796, 225.48724559209654, 225.72828201921388, 226.249667274423, 226.42065185947902, 226.5483386417422, 226.64356960930078, 226.70902593636305, 226.78352427468664, 227.2681361297357, 228.98795243284167, 229.08891818697327, 229.6576033954231, 230.0174265177149, 230.28178359778903, 230.68886705900465, 231.10098802955918, 231.39957004988395, 231.85465037199225, 232.00493632886335, 236.10506770939796, 240.60256114007564, 245.60971279772085, 250.79631998904003, 255.8606312988416, 261.1079395778117, 271.1827610514178, 278.6413263899695]","[118.632029941101, 128.55412716722222, 156.64210321434305, 180.21338196566379, 186.7175839237863, 204.6093928220025, 206.92363247973282, 209.21507711121234, 211.63848849417334, 214.0912041494278, 216.41853296503345, 218.41349422949747, 220.15532749699744, 221.77371719948817, 223.23256538865212, 224.62223487623143, 225.84981175365618, 226.89651351116294, 227.72727692381773, 228.42078583861328, 228.96705099913387, 229.0990773877932, 229.37762417603645, 229.97068742719742, 230.15401645123012, 230.2786132879251, 230.35367868193237, 230.38111700947624, 230.32128910980603, 229.38215339603573, 228.38104440108998, 228.35013130980667, 228.2118126172088, 228.1485829308194, 228.11055909814866, 228.06216020131242, 228.023713960051, 228.00149719117124, 227.97532429717975, 227.96849385985908, 227.9560109621758, 228.1903799664571, 228.63050327627008, 229.21564045221484, 229.88021432044755, 230.62966393109585, 232.15719102677764, 233.3190214778799]",True
F583-1,672.4161299996421,26.896645199985684,25,16.26,86.9,11.17036466549602,22.12141951700703,1.0,0.7,1.3682222222222196,100.0,False,"[20.044469299317246, 23.677278859844694, 32.82141951700703, 35.19964465425953, 40.24560584737737, 43.76956106119883, 45.87475345754628, 49.10928384577581, 49.86568936326821, 51.513873126549775, 55.18527906104792, 57.12503404092308, 59.259095303953956, 60.2323540149788, 61.293406907150114, 62.56826100652165, 64.2224981979965, 65.134508295693, 65.50429925462198, 66.02250190147106, 66.68418199362371, 67.63239947358032, 68.96161804709051, 69.65646386174309, 69.53389071697511]","[14.625094980784693, 15.223523463200129, 22.43480830602353, 23.982679365895358, 26.57995344649854, 27.593520798073136, 27.908194670884235, 28.604817038577785, 28.79867784705353, 29.204910145608665, 30.130887890842036, 30.592364269628337, 30.898589780167494, 30.93971507572448, 30.91164368497766, 30.75186365303815, 30.254198877027704, 29.768668973364775, 29.511988896629497, 29.086236746192064, 28.409263404468085, 27.21722308547022, 24.708012257868305, 20.258559175415336, 19.703537594397705]",True
NGC4068,79.83870531937353,13.306450886562255,6,2.33,41.9,7.295601657591306,11.123092524740047,0.3,0.7,1.3280555555555558,328.33333333333337,False,"[14.526553308292195, 24.223092524740046, 30.109250573611913, 33.45315796897496, 35.39566000992727, 36.32421958723296]","[8.041232124581109, 12.688401784274223, 15.138831235556763, 15.669468373821557, 15.311764253700018, 14.502741851577177]",True
UGC02885,551.778173185991,29.040956483473213,19,74.07,305.0,47.35877929058831,80.46257220237703,0.3,0.9,1.25,291.9432306289673,True,"[265.15066260693675, 243.77711710694356, 276.1592389858282, 289.2237312001118, 296.5250290906528, 301.7080191788367, 307.2661092863639, 313.07723764633084, 318.9554107958587, 325.0096734856759, 331.14918031402084, 337.31200496062695, 343.62986651396415, 349.7099410622582, 355.6884786893939, 361.5416002430931, 367.2576793806239, 373.0029227548252, 378.46257220237703]","[265.51984609313496, 245.1993856207441, 279.10399265045766, 293.9925412947458, 299.99027657391275, 302.90715713722244, 305.2936606557269, 307.07449142353204, 308.48199515097497, 309.7265956630341, 310.8034680358538, 311.765623951971, 312.6941042533298, 313.52227780895316, 314.2420394209017, 314.87293255178696, 315.4436662175383, 315.9769122839776, 316.4359049408407]",True
D564-8,14.770610121122175,2.4617683535203625,6,3.07,25.0,3.138004686752627,6.012825533377159,0.3,0.7,1.3280555555555558,328.33333333333337,False,"[14.552825533377158, 17.21965116529085, 19.82374582854716, 20.968861830746576, 21.505560999787996, 21.631670971127544]","[4.929501798677241, 4.824585739551439, 5.2208010305318355, 5.058782976787901, 4.749993176788518, 4.388563283560172]",True
NGC4013,2758.207955060129,76.61688764055913,36,31.01,198.0,46.876844334882406,91.25055015609504,0.3950484794378401,0.9,1.25,234.68189899269368,True,"[172.74718784459424, 103.74944984390496, 123.84959570708936, 138.065973249073, 147.43955368781735, 155.71020703612254, 162.18965889428188, 166.98113553789426, 171.67032832217149, 176.08009499706256, 179.77883465552733, 183.33510352445163, 186.72521217037857, 190.46855126968939, 193.56979725262735, 196.51940253038032, 199.90233377180465, 202.65729784527548, 205.373911848311, 208.42686170555203, 210.99289379688844, 213.49673200361798, 215.90771100004457, 218.70376274797107, 221.00213982645064, 223.28589275409303, 225.52363680981318, 228.0587805272695, 230.2052259340667, 232.2825456847915, 234.7037317554039, 236.70306143334227, 238.6974128382874, 240.96406720026096, 242.8889639183996, 244.78361645392835]","[175.49068839181214, 81.74721646004845, 110.5419553805637, 128.3468410549611, 139.0027323416885, 147.6684386351235, 153.87250791284663, 158.0756092657841, 161.93953592135622, 165.39882563448117, 168.1883689040419, 170.78088044575233, 173.1742290700884, 175.7299332039814, 177.78134195587597, 179.67853819666328, 181.79295929477698, 183.46908074670688, 185.08244274312744, 186.84982682471858, 188.29875894305457, 189.6811730092412, 190.98350398716565, 192.45900988312744, 193.64479879617045, 194.7992743259099, 195.90766671500168, 197.13679009962314, 198.1559380404528, 199.1237131155248, 200.22887939260963, 201.1235448700322, 202.00011593814634, 202.9772293621946, 203.7914768089795, 204.57921721686225]",True
UGC07323,114.81732112153863,11.481732112153862,10,5.82,85.6,7.450075271055302,10.39737592409702,0.37543752684256426,0.7,1.3579876095534757,321.9922314413792,False,"[33.04552834751116, 42.09531896887634, 51.27959045709949, 57.60074059110565, 62.38915593156575, 66.27724566246603, 69.38848096683995, 71.92813221065703, 73.82833243354418, 75.20262407590297]","[27.226890538840784, 30.313511649709614, 36.73676417144543, 39.83297558658781, 41.40678474234525, 42.19863583643244, 42.53052841963838, 42.40738239624886, 41.79215813139836, 40.78986605688332]",True
NGC3953,74.52348647701844,9.315435809627305,8,15.68,224.0,18.514330312807715,39.83314151948184,1.0,0.7,1.3682222222222196,100.0,False,"[202.66123678710395, 163.16685848051816, 198.52204216697396, 213.4280962401799, 217.5759557051332, 215.81115203659098, 211.82226287646697, 208.07110688476422]","[204.70010434257773, 165.60022185427653, 201.74016680036465, 216.70979562518727, 220.13635573174471, 216.35684596795824, 208.5253186553703, 199.15628504245146]",True
NGC4559,154.33535901874902,4.822979969335907,32,20.97,124.0,5.679917480145437,19.525317510659995,0.46871967801277614,0.7,1.3653159889006847,304.73810089628137,False,"[63.32531751065999, 67.197408477912, 80.34656330850657, 88.10452851301645, 94.00089937264579, 98.4454244398124, 101.49993333112755, 103.82508869815406, 106.02413845830404, 107.8053304657636, 109.47434063535505, 111.14722419662218, 112.5225086819369, 113.6175249868753, 114.43395500330692, 115.00312050335371, 115.47605845392275, 115.86038078097795, 116.17531969830294, 116.43010097968379, 116.62613932398617, 116.76785170464409, 116.87530517609993, 116.9645252059647, 117.03161315106492, 117.0693084316113, 117.08338316663735, 117.08015474054906, 117.06070752851772, 117.03075133672552, 116.99063845409592, 116.93986693194029]","[64.36779808969979, 66.66807666174374, 79.2909409026425, 85.57178205553167, 89.4452601800058, 91.36569754436003, 91.13920609851554, 89.77168213736898, 87.93373018307206, 85.8952561301962, 83.85454054903023, 81.92670061246106, 80.08945021352734, 78.03621571237407, 75.6954496487008, 73.48474575095969, 71.35573522023601, 69.34553681737859, 67.45744277715734, 65.68187617341417, 64.00164416443909, 62.406043069087595, 60.90425145513579, 59.5005692958261, 58.17807480718806, 56.91878110149654, 55.55870317330471, 54.58168184868526, 53.35460043904287, 52.33174855275843, 51.35655762617444, 50.423903284804304]",True
NGC6015,749.2649627310651,17.02874915297875,44,29.23,166.0,13.916022170402952,35.982354301227545,0.6682377846021502,0.7,1.273617894337025,239.9716701775194,False,"[71.48235430122755, 80.94136080113273, 100.97261020100682, 110.408584111026, 116.39314036005256, 121.5387663501601, 125.98694165363449, 129.85169334179193, 133.4863402468975, 136.44201447049528, 138.79544579104925, 140.36283766373677, 141.13708246491802, 141.2170116576114, 140.79690920407987, 140.09039923070526, 139.4853580911689, 139.0572024070953, 138.74289015158823, 137.98322517649285, 139.13361802443293, 139.84480066947043, 140.54559495510807, 141.1349400195513, 141.71743733436062, 142.2271704894559, 142.6688244807832, 142.98462747380026, 143.29088794147123, 143.53569311339018, 143.73419190480095, 143.8676981130612, 143.98906351977774, 144.07610971126655, 144.1330213081679, 144.16206559229036, 144.17511534055706, 144.16905887441223, 144.1459634218826, 144.1132441559819, 144.06326597810758, 144.00138651135387, 143.94022005827318, 143.85898443187745]","[72.00003251232536, 81.94339802648344, 102.16845558942495, 111.85572538240363, 118.08330884066481, 123.42296240383986, 128.01929144990567, 131.98589365329653, 135.6851916179054, 138.6584746252818, 140.97023274677338, 142.41254011215486, 142.94702939560872, 142.63774965921274, 141.63200550885833, 140.08939481191376, 138.54524569014296, 137.0451630873429, 135.5979140117931, 125.19902891334642, 114.52111846409544, 110.66807710573349, 107.08752778287416, 103.8691724801393, 100.47340035182849, 97.34708188066935, 94.39151418220065, 92.03035175162526, 89.40806511366804, 86.98078396742734, 84.68108439851535, 82.84106559750798, 80.79480572209698, 78.86869003770359, 77.07313489887464, 75.59052943988343, 73.97306906886051, 72.42241809633884, 70.96723098711364, 69.75786242067633, 68.43035472160476, 67.15005627193776, 66.10862041104376, 64.93133191059178]",True
UGC05253,4105.401030862273,56.23837028578456,73,53.29,248.0,50.87520600966951,137.65621551513715,0.3,0.3,1.25,600.0,True,"[178.70687596139675, 187.15196017593388, 226.1058048557018, 243.20573405814423, 251.98565035284952, 257.83002449981433, 261.6871732587086, 264.20698256975754, 266.14353162835727, 267.57368418696774, 268.696553045417, 269.6458224165077, 270.3649002696626, 270.97495941391065, 271.63452191300325, 272.31261520748075, 273.0295198137536, 273.72611004287404, 274.48593230070827, 275.21180962141415, 275.8263279492175, 276.41760380892316, 276.9287399406531, 277.33147235074966, 277.69346691887574, 277.99086218506005, 278.2271018376091, 278.4562639201016, 278.65264423336055, 278.79302006910046, 278.90455998645, 278.9842676773478, 279.0352301562639, 279.07474839296435, 279.10314132398435, 279.1209540274816, 279.13566314558636, 279.1507047786892, 279.16431581289834, 279.1695681058576, 279.1787681623084, 279.1975624041956, 279.2476060895932, 279.27826932847864, 279.3068185939921, 279.3367917786262, 279.6489629001104, 279.7411858414233, 279.7994777207928, 279.85187835131785, 279.97308424426507, 280.0945363674811, 280.23488497635617, 280.3819345160132, 281.6311574364859, 283.54434788197085, 285.2988960322171, 287.2191259350098, 289.25167015009754, 291.5564546337736, 294.25755998580627, 296.9527747188418, 299.72499288755904, 302.73591388632383, 308.7166687257049, 314.558575870762, 320.6438282341899, 326.70170840341126, 332.53964825799255, 338.4964995365641, 344.3882542032281, 349.97441410658604, 355.65621551513715]","[178.71577907548578, 187.17931043339794, 226.14149397367063, 243.25658296027302, 252.05428181449838, 257.9215926506733, 261.80514523844334, 264.3522289260212, 266.3214489205674, 267.78729564578697, 268.94539802564617, 269.9354699048344, 270.6980422530864, 271.35018411603266, 272.05712328570604, 272.78421917982917, 273.5514908922017, 274.29562548683947, 275.1081084658017, 275.8879556477537, 276.5535509610393, 277.20158989141584, 277.7709877562796, 278.22881556133296, 278.6519189757424, 279.0118013868058, 279.30677237434776, 279.60053455271736, 279.86252671113715, 280.0644444180515, 280.24365071990957, 280.3919225864911, 280.5068747774417, 280.61632918604084, 280.7151808400011, 280.7984251235388, 280.8843303040929, 280.97076425995743, 281.05039765587145, 281.08318518379394, 281.1364434619381, 281.2267777834377, 281.41398095438205, 281.51566321322645, 281.6095510722555, 281.7100361021805, 282.3608099820508, 282.51457425350327, 282.60844848397267, 282.691159332666, 282.8774205849342, 283.0581447593116, 283.26185132611823, 283.47137459743067, 285.20911044502225, 287.7277040841926, 289.8640277524858, 291.9550393030006, 293.9175031616793, 295.94242316214, 298.13712414747994, 300.17456491470534, 302.12731870458924, 304.1092343259774, 307.6742898081636, 310.7579864520806, 313.63460974012224, 316.22128022472384, 318.49418632562606, 320.6273943604286, 322.57332433839065, 324.27879651789465, 325.8833464708591]",True
UGC12506,608.5356289411125,19.630181578745564,31,49.99,255.0,30.708187407720008,46.40999153351433,1.0,0.7,1.3682222222222196,100.0,False,"[91.49293429945331, 131.8383881041928, 159.75577491358536, 173.5340095040837, 183.27361071868967, 190.96142041917628, 195.9556099548904, 198.76935332087842, 200.38806973500942, 201.77265833693875, 203.1478198195911, 204.45765665974454, 205.78456700502483, 207.18452988040502, 208.59000846648567, 209.92380269967768, 211.17033030159385, 212.30789883898512, 213.36058389661642, 214.33572769959474, 215.21849493017203, 215.99949473076077, 216.69233016744877, 217.30378941410106, 217.83235940918507, 218.2824456058142, 218.66448578148152, 218.8162933346003, 218.75389490951378, 218.66233554506948, 218.5447721323644]","[92.57500884881978, 133.94073520262492, 162.38936044746688, 176.21329665174088, 185.47388490262327, 192.18166215102315, 195.483335218062, 195.64150037274752, 193.59701998473824, 190.51536377807153, 186.80231447049152, 182.52571612348592, 177.99920922003687, 173.51420678509768, 169.12248663413962, 164.80898819751098, 160.6254308110313, 156.6162709306128, 152.7706779265397, 149.1402391412491, 145.6915737555312, 142.39621212480802, 139.25873403173765, 136.27101243994122, 133.4129068471564, 130.67389072932122, 128.05233718528578, 125.32529622964975, 122.53248116694147, 119.86756725298532, 117.33623773491124]",True
