name,distance,n_points,total_mass,mean_f_gas,r_max,chi2_standard,mean_res_standard,chi2_overhead,mean_res_overhead,chi2_screening,mean_res_screening,chi2_recognition,mean_res_recognition,chi2_xi_screening,mean_res_xi_screening
IC4202,100.4,32,5881987489899.8125,0.027234807385777243,25.9,59.692708216168505,0.00338305626388917,61.71842609926023,0.0005986295136146749,675.0795618794633,1.3564457956846159,58.410607254032016,-0.0013576738980977457,59.818090423722566,0.0008839663154397992
UGC00128,64.5,22,1501539128457.694,0.3442691462347824,53.75,4669.69399911087,1.1161405170694914,4840.738493015788,1.1014277155345822,8818.42592001538,2.8296884224294807,4425.463112571618,1.108825679870162,4647.579072336216,1.1108699222924512
D631-7,7.72,16,4734931358.328686,0.5813146610673952,7.19,93.8733116862725,0.8360117882080202,98.63134819683421,0.8176146886124619,303.61837877444754,5.936548097071486,87.19960027998985,0.8265192440568014,93.430634117783,0.8314388999411704
F568-V1,80.6,15,173044187901.1088,0.1309275380714968,17.63,33.82351894260642,1.1578376900338498,36.22497998751485,1.1490219343622827,78.41066659688667,6.746783982680819,31.327258694272818,1.146641394644842,33.693752039535255,1.152463241613693
UGC06667,18.0,9,16820730850.999538,0.3794495054074358,7.85,217.23240260394425,2.071358737832098,245.94556440578768,2.0511476370252084,414.23821093761615,12.129333057743235,192.019640843253,2.054565670354605,216.62914255178413,2.063709015523274
UGC05918,7.66,8,2460784194.9604845,0.268549812236201,4.46,24.99290958430208,1.0807302669422645,28.80531515382673,1.0691076950141556,75.9838039606699,10.086642010130522,21.648755798536403,1.0688111392225754,24.871699367421822,1.075547867196636
UGC02487,69.1,17,43925129844431.14,0.02710311478634277,80.38,1434.0354426040692,0.4621185537155917,1514.2665313284112,0.4580559083043652,2814.716855299526,1.1438209097598484,1337.5061007489137,0.4575780956776523,1421.4806062796379,0.4584769078274924
UGC05999,47.7,5,203435001102.0456,0.3804487116854734,16.22,69.16667382872227,0.6709742522665882,90.34305557741784,0.658695008842398,203.75994901026013,3.120557569493472,54.64601108930297,0.6627278881678851,68.73269780393517,0.6668124170313929
F568-1,90.7,12,193004478277.3431,0.16754389010617343,13.23,31.383496259290485,1.1197267432120777,34.2078751107435,1.110233823781293,73.86521505375755,6.764969722798257,28.53013622292947,1.1086834419018714,31.253511260215927,1.1144472163510746
NGC2976,3.58,27,7566232447.115295,0.05579179504567248,2.27,1.0873220721425896,-0.07434715945336517,1.1887327726333397,-0.07723576527449552,195.1709246338048,6.453554006672528,1.1980179860686675,-0.080984916180425,1.1353738129778934,-0.07665264956018164
NGC3917,18.0,17,452809966694.2352,0.04712175945843177,14.86,39.790222860145775,0.2212510579807638,41.45545130321565,0.2175665359760715,450.39193367365516,2.6709030001822605,36.08763338008861,0.21505746034438175,39.05408935977355,0.21820933206713605
F571-V1,80.1,7,65938906424.18409,0.3493087646569672,13.59,34.37135311260361,0.7797248074787212,40.54883152829355,0.7672821585088091,91.74764635152894,4.0832389220963,29.148557001682963,0.770908097652738,34.1880935376608,0.775292111162384
NGC3972,18.0,10,166920602143.00327,0.04292819363303103,8.72,20.702571205150935,0.18233498931116604,22.709807921378662,0.17883955873938945,313.07277074810816,3.408889162428287,17.92061693030589,0.17617005085956836,20.296710740475024,0.1793901902446065
